IdAlbum,Num,Titre,IdSerie,IdDessinateur,IdColoriste,IdScenariste,Editeur,Reference,Couverture,,Exlibris,NbPages,Planche,IdBEL,Exemplaires
480,6,Le trésor du Temple,154,262,262,261,Dargaud,2-87129-760-6,scorpion06.JPG,,scorpion06v.jpg,46,scorpion06p.jpg,51459,7
481,7,Au Nom du Père,154,262,262,261,Dargaud,2-505-00018-2,scorpion07.jpg,,scorpion07v.jpg,46,PlancheA_58944.jpg,58944,1
482,8,L'ombre de l'Ange,154,262,262,261,Dargaud,978-2-505-00474-5,scorpion08_79729.jpg,,scorpion08v_79729.jpg,46,scorpion08p_79729.jpg,79729,2
483,9,Masque de la Vérité,154,262,262,261,Dargaud,978-2-505-00914-6,Couv_113222.jpg,,Verso_113222.jpg,46,113222_pla.jpg,113222,3
484,1,La fille sous la dunette,155,264,264,264,Glénat,2-7234-0132-4,passagersduvent01_302.jpg,,passagersduvent01v_302.jpg,46,passagers1-planc_302.jpg,302,2
485,2,Le ponton,155,264,264,264,Glénat,2-7234-0164-2,passagerduventcouv02eo.jpg,,passagersduvents02v_303.jpg,46,passagersduvents02p_303.jpg,303,1
486,3,Le comptoir de Juda,155,264,264,264,Glénat,2-7234-0215-0,passagerduventcouv03eo.jpg,,passagersduvents03v_304.jpg,46,passagersduvents03p_304.jpg,304,5
487,4,L'heure du serpent,155,264,264,264,Glénat,2-7234-0290-8,passagersduvent04.jpg,,passagersduvents04v_305.jpg,46,passagersduvents04p_305.jpg,305,3
488,5,Le bois d'ébène,155,264,264,264,Glénat,2-7234-0440-4,passagersduvent05_306.jpg,,passagersduvents05v_306.jpg,46,passagersduvents05p_306.jpg,306,4
489,6,La Petite Fille Bois-Caïman - Livre 1,155,264,264,264,12bis,978-2-356-48066-8,PassagersDuVent_06_93413.jpg,,PassagersDuVent_06_VER_93413.jpg,78,PassagersDuVent_06_PL_93413.jpg,93413,5
490,7,La Petite Fille Bois-Caïman - Livre 2,155,264,264,264,12bis,978-2-356-48112-2,Couv_99109.jpg,,Verso_99109.jpg,64,PlancheA_99109.jpg,99109,6
491,2,Volume 2,13,29,1,28,Gallimard,2-07-057588-8,AyaDeYopougon2_29092006.jpg,,ayadeyopougon02v.jpg,106,ayadeyopougon02p.jpg,NULL,7
492,3,Volume 3,13,29,1,28,Gallimard,978-2-07-061543-8,AyaDeYopougon3_09102007_180143.jpg,,AyaDeYopougon3_09102007_180143.jpg,126,ayadeyopougon03p.jpg,NULL,4
493,4,Volume 4,13,29,29,28,Gallimard,978-2-07-061995-5,AyaDeYopougon_04_80396.jpg,,AyaDeYopougon_04_VER_80396.jpg,106,AyaDeYopougon_04_PL_80396.jpg,NULL,3
494,5,Volume 5,13,29,29,28,Gallimard,978-2-07-062803-2,Couv_98840.jpg,,Verso_98840.jpg,107,PlancheA_98840.jpg,98840,7
495,6,Volume 6,13,29,29,28,Gallimard,978-2-07-069512-6,Couv_118426.jpg,,Verso_118426.jpg,104,PlancheA_118426.jpg,118426,5
496,2,L'apocalypse selon Saint Jacky,135,59,59,59,Dargaud,978-2-205-06759-0,Couv_123954.jpg,,Verso_123954.jpg,208,PlancheA_123954.jpg,123954,4
497,2,(Livre second),148,265,265,265,Futuropolis,978-2-7548-0393-9,Couv_116325.jpg,,Verso_116325.jpg,60,PlancheA_116325.jpg,116325,2
498,7,Charleston,108,96,57,77,Casterman,978-2-203-03219-4,Couv_138758.jpg,,Verso_138758.jpg,78,PlancheA_138758.jpg,138758,5
499,2,Deuxième époque (1917-1918),122,126,126,126,Futuropolis,978-2-7548-0114-0,Matteo2-couv_115131.jpg,,Matteo2-verso_115131.jpg,71,Matteo2-planc_115131.jpg,115131,1
500,5,Paul à la pêche,31,56,24,56,Les éditions de la Pastèque,2-922585-39-5,paul5_59923.jpg,,NULL,200,NULL,59923,1
501,6,Paul à Québec,31,56,24,56,Les éditions de la Pastèque,978-2-922585-70-4,Couv_87049.jpg,,Verso_87049.jpg,188,PlancheA_87049.jpg,87049,4
502,7,Paul au parc,31,56,24,56,Les éditions de la Pastèque,978-2-923841-05-2,Couv_145258.jpg,,Verso_145258.jpg,144,PlancheA_145258.jpg,145258,2
503,3,Une traversée mouvementée,93,134,76,134,Dupuis,978-2-8001-4085-8,Salvatore3_03102009_170132.jpg,,Verso_95349.jpg,52,Albsalvatore3_03102009_170132.jpg,95349,3
504,4,Retour à Brest,93,134,76,134,Dupuis,978-2-8001-4849-6,Couv_115181.jpg,,Verso_115181.jpg,54,PlancheA_115181.jpg,115181,4
505,6,La mer vue du Purgatoire...,53,199,199,199,Glénat,978-2-7234-4429-3,Couv_126674.jpg,,Verso_126674.jpg,64,PlancheA_126674.jpg,126674,6
506,2,Animal farm,143,186,187,183,DC Comics,978-1-401-20077-0,Couv_99737.jpg,,Verso_99737.jpg,115,NULL,99737,7
507,3,Storybook love,143,186,218,183,DC Comics,978-1-401-20256-9,Couv_99738.jpg,,Verso_99738.jpg,184,NULL,99738,8
508,1,Legends in exile,143,184,185,183,DC Comics,978-1-563-89942-3,FablesV01_18102009_101424.jpg,,FablesV01_18102009_101424.jpg,112,NULL,97338,3
512,4,Épisode 4,156,266,266,266,Dargaud,978-2-205-06765-1,Couv_138040.jpg,,Verso_138040.jpg,46,PlancheA_138040.jpg,138040,1
513,1,Anomalies quantiques - Épisode 1,157,266,266,266,Dargaud,978-2-205-06524-4,Couv_120743.jpg,,Verso_120743.jpg,48,PlancheA_120743.jpg,120743,2
514,1,Episode 1,158,267,268,266,Dargaud,978-2-205-06085-0,Couv_105592.jpg,,Verso_105592.jpg,46,105592_pla.jpg,105592,4
515,2,Épisode 2,158,267,268,149,Dargaud,978-2-205-06529-9,Couv_117129.jpg,,Verso_117129.jpg,46,PlancheA_117129.jpg,117129,5
516,1,Livre 1/2,159,270,271,269,Dargaud,978-2-205-06740-8,Couv_126734.jpg,,Verso_126734.jpg,54,PlancheA_126734.jpg,126734,2
518,2,Livre 2/2,159,270,271,269,Dargaud,978-2-205-06764-4,Couv_138242.jpg,,Verso_138242.jpg,54,PlancheA_138242.jpg,138242,2
520,NULL,Là où vont nos pères,60,100,100,100,Dargaud,978-2-205-05970-0,Couv_143518.jpg,,Verso_143518.jpg,116,PlancheA_143518.jpg,NULL,3
521,3,Kettricken,160,274,275,273,Soleil Productions,978-2-302-00888-5,Couv_100036.jpg,,Verso_100036.jpg,46,PlancheA_100036.jpg,100036,2
522,4,Molly,160,274,275,273,Soleil Productions,978-2-302-01235-6,Couv_115483.jpg,,Verso_115483.jpg,47,PlancheA_115483.jpg,115483,3
523,1,Le bâtard,160,277,275,273,France Loisirs,978-2-298-03773-9,Couv_134606.jpg,,Verso_134606.jpg,46,PlancheA_134606.jpg,134606,4
524,2,L'art,160,277,275,273,France Loisirs,978-2-298-04403-4,Couv_134608.jpg,,Verso_134608.jpg,46,PlancheA_134608.jpg,134608,5
525,6,"L'Héritage du Kaiser - Château de Stolditz, Allemagne. 1936...",161,280,174,279,Delcourt,978-2-7560-1739-6,118033_c.jpg,,Verso_118033.jpg,54,118033_pla.jpg,118033,6
526,5,"Gold Rush - Yukon, 1899...",161,282,283,281,Delcourt,978-2-7560-1738-9,115618_c.jpg,,Verso_115618.jpg,62,115618_pla.jpg,115618,7
527,1,Premier livre,138,209,209,209,Futuropolis,978-2-7548-0102-7,LuluFemmeNue1_28102008_232856.jpg,,LuluFemmeNue1_28102008_232856.jpg,76,lulufemmenue01p_79439.jpg,NULL,2
529,NULL,Là-bas,162,265,265,284,Dupuis,2-8001-3457-7,Labas_05092003.jpg,,labasv_28823.jpg,64,NULL,NULL,4
530,2,Le fruit de la connaissance,127,193,193,193,Soleil Productions,2-87764-937-7,Couv_136848.jpg,,Verso_136848.jpg,46,NULL,136848,5
532,3,Caïn et Abel,127,193,193,193,Soleil Productions,2-84565-037-X,Couv_136847.jpg,,Verso_136847.jpg,48,NULL,136847,6
533,1,Esclaves,163,285,285,206,Dargaud,978-2-505-00971-9,Couv_115029.jpg,,Verso_115029.jpg,52,PlancheA_115029.jpg,115029,2
534,1,Un héros sans cœur,164,286,286,2,Delcourt,978-2-7560-1942-0,115972_c.jpg,,Verso_115972.jpg,46,115972_pla.jpg,115972,4
535,1,Le discours,165,14,14,13,Futuropolis,978-2-7548-0353-3,Couv_125488.jpg,,Verso_125488.jpg,34,PlancheA_125488.jpg,125488,3
536,NULL,Julia & Roem,166,158,158,158,Casterman,978-2-203-03308-5,Couv_125622.jpg,,Verso_125622.jpg,84,PlancheA_125622.jpg,125622,2
537,NULL,Essex County,167,287,24,287,Futuropolis,978-2-7548-0235-2,Couv_108626.jpg,,Verso_108626.jpg,496,PlancheA_108626.jpg,108626,2
538,NULL,La Fugue,168,288,289,288,Éditions de la Pastèque,2-922585-30-1,FugueLaBlanchet_05082006.jpg,,NULL,136,NULL,NULL,5
539,NULL,Body World,169,290,290,290,Dargaud,978-2-205-06316-5,Couv_118236.jpg,,NULL,384,NULL,118236,6
540,NULL,Le journal d'un remplaçant,170,291,24,291,Delcourt,978-2-7560-0641-3,JournalDunRemplacantLe_30122006.jpg,,journaldunremplacantv.jpg,124,PlancheA_60018.jpg,NULL,7
541,NULL,Broderies,171,133,24,133,L'Association,2-84414-095-5,Broderies_09022003.jpg,,NULL,130,NULL,NULL,1
542,1,Comment je ne me suis pas fait kidnapper en Afghanistan,172,292,24,292,La boîte à bulles,978-2-84953-053-5,kaboul_1_67647.jpg,,KaboulDisco_01_VER_67647.jpg,145,kaboul_5_67647.jpg,67647,2
543,NULL,Shenzhen,173,293,24,293,L'Association,2-84414-035-1,shenzen01_11278.jpg,,NULL,150,NULL,NULL,3
544,NULL,Logicomix,174,295,296,294,Vuibert,978-2-7117-4351-3,Couv_112031.jpg,,Verso_112031.jpg,304,PlancheA_112031.jpg,112031,2
545,NULL,Watchmen,25,48,49,47,DC Comics,0-930289-23-4,Watchmenint2_12072009_001753.jpg,,Watchmenint2_12072009_001753.jpg,416,Albwatchmenint2_12072009_001753.jpg,89404,1
546,2,Final incal,118,300,300,2,Les Humanoïdes Associés,978-2-7316-1444-2,Couv_133712.jpg,,Verso_133712.jpg,62,PlancheA_133712.jpg,133712,5
547,2,Renée,68,109,24,109,Futuropolis,2-7548-0085-9,Couv_120701.jpg,,Verso_120701.jpg,464,PlancheA_120701.jpg,120701,3
548,3,Livre III - L'Adieu aux Rois,113,303,303,159,Soleil Productions,978-2-302-01893-8,Couv_142820.jpg,,Verso_142820.jpg,51,PlancheA_142820.jpg,142820,4
549,32,La Bataille d'Asgard ,72,112,112,114,Le Lombard,978-2-8036-2754-7,Couv_117408.jpg,,Verso_117408.jpg,46,PlancheA_117408.jpg,117408,5
550,33,Le Bateau-Sabre,72,112,112,114,Le Lombard,978-2-8036-2995-4,Couv_140423.jpg,,Verso_140423.jpg,46,PlancheA_140423.jpg,140423,6
551,9,Concurrence déloyale,4,12,12,11,Casterman,978-2-203-03178-4,Couv_126818.jpg,,Verso_126818.jpg,54,PlancheA_126818.jpg,126818,7
552,4,Le Chant des dunes,130,194,194,194,Delcourt,978-2-7560-1989-5,Couv_118876.jpg,,Verso_118876.jpg,32,118876_pla.jpg,118876,4
553,1,Larmes d'abeille,175,198,57,77,Vents d'Ouest,978-2-7493-0268-3,GrandMortLe1_14112007_210502.jpg,,GrandMortLe1_14112007_210502.jpg,56,AlbgrandMortLe1_14112007_210502.jpg,68515,3
554,2,Pauline...,175,198,57,77,Vents d'Ouest,978-2-7493-0394-9,GrandMort_02_79711.jpg,,GrandMort_02_VER_79711.jpg,58,GrandMort_02_PL_79711.jpg,79711,7
555,3,Blanche,175,198,57,77,Vents d'Ouest,978-2-7493-0595-0,Couv_135013.jpg,,Verso_135013.jpg,54,PlancheA_135013.jpg,135013,5
556,1,508 statues souriantes,176,305,305,13,Futuropolis,978-2-7548-0356-4,Couv_134093.jpg,,Verso_134093.jpg,48,PlancheA_134093.jpg,134093,4
557,1,Chili con Carnage,177,306,283,163,Delcourt,978-2-7560-1807-2,Couv_124457.jpg,,Verso_124457.jpg,46,PlancheA_124457.jpg,124457,2
558,1,Chroniques diplomatiques,178,75,308,307,Dargaud,978-2-205-06132-1,Couv_108242.jpg,,Verso_108242.jpg,94,108242_pla.jpg,108242,5
559,2,Chroniques diplomatiques,178,75,308,307,Dargaud,978-2-205-06679-1,Couv_141851.jpg,,Verso_141851.jpg,96,PlancheA_141851.jpg,141851,1
560,NULL,Frenchman,179,156,156,156,Daniel Maghen,978-2-356-74023-6,Couv_136258.jpg,,Verso_136258.jpg,74,PlancheA_136258.jpg,136258,1
561,1,Les règles du jeu,180,309,309,13,Futuropolis,978-2-7548-0318-2,Couv_135303.jpg,,Verso_135303.jpg,48,PlancheA_135303.jpg,135303,4
562,1,Quinquennat nerveux,181,291,291,291,Delcourt,978-2-7560-2824-8,141736_c.jpg,,NULL,NULL,NULL,141736,2
